Region,Sub-region,Country,Date Completed,1. At the woman's request,1a. To save a woman’s life,1b. To preserve a woman’s health,1c. To preserve a woman’s physical health,1d. To preserve a woman’s mental health,1e. In cases of intellectual or cognitive disability of the woman,1f. In cases of incest,1g. In cases of rape,1h. In cases of foetal impairment,1i. For economic or social reasons,1k. Other (please specify),2a. Gestational limit applies,2b. Authorization of health-care professional(s) required,2c. Parental consent required for minors,2d. Judicial authorization required for minors,2e. Husband’s consent required for married women,2f. Authorized in specially licensed facilities only,2g. Compulsory counselling,2h. Woman required to view ultrasound images and/or listen to foetal heartbeat,2i. Compulsory waiting period,2j. HIV test required,2k. Other STI test(s) required,2l. Police report required in case of rape,2m. Judicial authorization required in case of rape,2n. Prohibition of sex-selective abortion,2o. Other,8. Who can be criminally charged for an illegal abortion?
Africa,Northern Africa,Algeria,2022-05-17,No,Yes,No,No,No,No,No,No,No,No,Not Specified,Not Specified,Yes,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,"Woman, Provider, Person who helps a woman obtain abortion"
Africa,Middle Africa,Angola,2022-07-28,No,Yes,No,Yes,Yes,No,No,No,Not Specified,No,Sexual assault. Pregnancy which is the result of crime against freedom and sexual self-determination. There are strong reasons to believe that the foetus is unviable.,Yes,Yes,Yes,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Yes,Not Specified,Not Specified,Yes,Not Specified,Not Specified,Not Specified,"Woman, Provider, Person who helps a woman obtain abortion"
Africa,Western Africa,Benin,2023-12-07,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Claim of distress,Yes,No,Yes,Not Specified,Not Specified,Yes,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,"When the voluntary termination of pregnancy is envisaged for a pregnant adult under guardianship, the legal representative refers either directly to a doctor or to a social assistant who, on where applicable, refers her to a competent health structure. The consent of the adult under guardianship is obtained beforehand. In the event that there is no legal representative, the ""incapable adult"" brings her request to the social worker who refers her to a competent health structure and informs the guardianship judge who decides within eight (8) days.","Provider, Person who helps a woman obtain abortion"
Africa,Southern Africa,Botswana,2020-04-09,Not Specified,Yes,Not Specified,Yes,Yes,Not Specified,Yes,Yes,Yes,Not Specified,Defilement,Yes,Yes,Not Specified,Not Specified,Not Specified,Yes,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,     ,"Woman, Provider, Person who helps a woman obtain abortion"
Africa,Western Africa,Burkina Faso,2022-10-06,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Therapeutic indication,Yes,Yes,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,"Woman, Provider, Person who helps a woman obtain abortion"
Africa,Eastern Africa,Burundi,2022-05-11,No,Yes,Yes,No,No,No,No,No,No,No,Therapeutic indication,Not Specified,Yes,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,     ,"Woman, Provider, Person who helps a woman obtain abortion"
Africa,Western Africa,Cabo Verde,2022-05-17,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Sexual assault and to prevent the transmission of a grave hereditary or contagious illness.,Yes,No,Yes,Not Specified,Not Specified,Yes,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Women must request abortion through a formal request (form to complete) which needs to be validated by the director of the health institution.,"Woman, Provider, Person who helps a woman obtain abortion"
Africa,Middle Africa,Cameroon,2022-05-11,No,Yes,Yes,No,No,No,No,Yes,No,No,Not Specified,Yes,Yes,Yes,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Yes,Not Specified,Not Specified,Not Specified,"Woman, Provider, Person who helps a woman obtain abortion"
Africa,Middle Africa,Central African Republic,2022-07-11,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,If a minor finds herself in a state of grave distress.,Yes,Yes,Not Specified,Not Specified,Not Specified,No,Not Specified,Not Specified,Yes,No,No,Yes,Not Specified,Not Specified,Not Specified,"Woman, Provider, Person who helps a woman obtain abortion"
Africa,Middle Africa,Chad,2018-11-09,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Sexual assault,Not Specified,Yes,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,     ,"Woman, Provider"
